Table 11 : Unemployment Rate by Sex and Age,,,,,,,,
,,,,,,,,
,,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate
,,(%),(%),(%),(%),(%),(%),(%)
Age group,,15 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 and over,Aged 15 and over
Year/Period,Sex,,,,,,,
1/1991 - 3/1991,Both sexes,5.8,1.8,1.1,0.9,1.4,0.7,1.5
2/1991 - 4/1991,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.8
3/1991 - 5/1991,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2.1
4/1991 - 6/1991,Male,9.7,3.3,1.3,1.8,1.7,1.0,2.2
4/1991 - 6/1991,Female,6.5,2.4,1.5,0.8,1.0,[*7],1.9
4/1991 - 6/1991,Both sexes,8.3,2.8,1.4,1.5,1.6,0.8,2.1
5/1991 - 7/1991,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2.1
6/1991 - 8/1991,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2.0
7/1991 - 9/1991,Male,9.3,2.7,1.0,1.8,2.0,0.6,2.0
7/1991 - 9/1991,Female,8.5,2.5,0.8,1.0,[*7],[*7],1.8
7/1991 - 9/1991,Both sexes,8.9,2.6,0.9,1.5,1.6,0.5,1.9
8/1991 - 10/1991,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.9
9/1991 - 11/1991,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.8
10/1991 - 12/1991,Male,9.2,2.3,1.4,1.4,1.6,0.8,1.9
10/1991 - 12/1991,Female,9.3,1.3,0.7,0.8,[*7],[*7],1.3
10/1991 - 12/1991,Both sexes,9.3,1.9,1.1,1.2,1.3,0.6,1.7
11/1991 - 1/1992,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.7
12/1991 - 2/1992,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.8
1/1992 - 3/1992,Male,7.1,3.4,1.6,1.9,2.0,1.4,2.3
1/1992 - 3/1992,Female,7.9,1.9,1.5,0.8,1.0,[*7],1.7
1/1992 - 3/1992,Both sexes,7.4,2.6,1.6,1.5,1.7,1.2,2.1
2/1992 - 4/1992,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2.3
3/1992 - 5/1992,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2.3
4/1992 - 6/1992,Male,6.8,3.0,1.6,1.3,2.6,0.9,2.1
4/1992 - 6/1992,Female,5.9,2.8,1.4,0.9,0.9,[*7],2.0
4/1992 - 6/1992,Both sexes,6.4,2.9,1.5,1.2,2.1,0.8,2.1
5/1992 - 7/1992,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.9
6/1992 - 8/1992,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.7
7/1992 - 9/1992,Male,5.4,2.7,1.0,1.3,1.2,[*7],1.6
7/1992 - 9/1992,Female,5.2,2.7,0.9,1.0,0.8,[*7],1.8
7/1992 - 9/1992,Both sexes,5.4,2.7,1.0,1.2,1.1,0.4,1.7
8/1992 - 10/1992,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.9
9/1992 - 11/1992,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.9
10/1992 - 12/1992,Male,7.3,2.8,1.3,1.5,1.8,0.6,2.0
10/1992 - 12/1992,Female,6.9,2.4,1.6,1.4,1.3,2.1,2.1
10/1992 - 12/1992,Both sexes,7.2,2.6,1.4,1.5,1.7,0.9,2.0
11/1992 - 1/1993,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.8
12/1992 - 2/1993,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2.0
1/1993 - 3/1993,Male,8.3,3.2,1.7,1.4,2.3,1.6,2.3
1/1993 - 3/1993,Female,5.6,2.6,1.1,1.1,2.2,[*7],1.9
1/1993 - 3/1993,Both sexes,7.2,2.9,1.5,1.3,2.2,1.6,2.1
2/1993 - 4/1993,Male,6.9,3.1,1.8,1.5,2.3,1.8,2.3
2/1993 - 4/1993,Female,7.5,2.7,1.1,1.1,1.7,[*7],2.0
2/1993 - 4/1993,Both sexes,7.2,2.9,1.5,1.4,2.1,1.7,2.2
3/1993 - 5/1993,Male,8.0,2.9,1.5,1.3,2.3,1.7,2.1
3/1993 - 5/1993,Female,7.8,2.7,1.0,0.9,1.2,[*7],1.9
3/1993 - 5/1993,Both sexes,7.9,2.8,1.3,1.2,2.1,1.5,2.0
4/1993 - 6/1993,Male,7.5,2.8,1.2,1.5,2.3,1.4,2.0
4/1993 - 6/1993,Female,10.1,2.7,1.3,1.2,1.0,[*7],2.0
4/1993 - 6/1993,Both sexes,8.5,2.7,1.3,1.4,2.0,1.1,2.0
5/1993 - 7/1993,Male,7.5,2.7,1.1,1.3,2.2,1.1,1.9
5/1993 - 7/1993,Female,8.3,3.0,1.5,1.2,1.0,[*7],2.2
5/1993 - 7/1993,Both sexes,7.8,2.8,1.2,1.2,1.9,1.0,2.0
6/1993 - 8/1993,Male,5.9,3.2,0.9,1.3,2.0,0.9,1.8
6/1993 - 8/1993,Female,6.9,2.9,1.6,1.2,1.4,[*7],2.2
6/1993 - 8/1993,Both sexes,6.3,3.0,1.2,1.3,1.9,0.8,2.0
7/1993 - 9/1993,Male,6.5,3.1,1.0,1.1,1.5,0.8,1.7
7/1993 - 9/1993,Female,6.6,2.9,1.5,1.0,1.9,[*7],2.1
7/1993 - 9/1993,Both sexes,6.6,3.0,1.2,1.0,1.6,0.8,1.9
8/1993 - 10/1993,Male,8.3,3.1,1.2,1.3,1.4,0.8,1.9
8/1993 - 10/1993,Female,9.0,2.8,1.4,0.8,1.8,[*7],2.1
8/1993 - 10/1993,Both sexes,8.6,3.0,1.3,1.1,1.5,0.7,2.0
9/1993 - 11/1993,Male,10.5,2.7,1.4,1.4,1.4,0.8,1.9
9/1993 - 11/1993,Female,10.2,2.5,1.6,0.8,1.6,[*7],2.1
9/1993 - 11/1993,Both sexes,10.4,2.6,1.4,1.2,1.4,0.8,2.0
10/1993 - 12/1993,Male,12.0,2.5,1.2,1.5,1.8,1.2,1.9
10/1993 - 12/1993,Female,7.9,1.9,1.4,0.8,[*7],[*7],1.7
10/1993 - 12/1993,Both sexes,10.3,2.2,1.2,1.3,1.5,1.3,1.8
11/1993 - 1/1994,Male,10.0,2.4,1.0,1.6,2.4,1.5,1.9
11/1993 - 1/1994,Female,5.6,1.8,1.2,1.0,[*7],[*7],1.5
11/1993 - 1/1994,Both sexes,8.1,2.1,1.1,1.4,1.9,1.4,1.8
12/1993 - 2/1994,Male,9.2,2.2,1.1,1.8,2.8,1.4,2.0
12/1993 - 2/1994,Female,4.7,1.6,0.8,1.1,[*7],[*7],1.2
12/1993 - 2/1994,Both sexes,7.2,1.9,1.0,1.6,2.2,1.2,1.7
1/1994 - 3/1994,Male,8.6,2.8,1.4,1.9,2.5,1.0,2.1
1/1994 - 3/1994,Female,6.3,1.9,1.1,1.4,[*7],[*7],1.6
1/1994 - 3/1994,Both sexes,7.6,2.3,1.3,1.8,2.0,0.9,1.9
2/1994 - 4/1994,Male,10.3,2.9,1.5,1.7,1.9,0.9,2.1
2/1994 - 4/1994,Female,6.3,1.6,1.0,1.6,[*7],[*7],1.5
2/1994 - 4/1994,Both sexes,8.5,2.3,1.3,1.7,1.6,0.8,1.9
3/1994 - 5/1994,Male,9.5,2.9,1.4,1.4,1.9,1.0,2.0
3/1994 - 5/1994,Female,6.5,1.8,1.3,1.8,[*7],[*7],1.7
3/1994 - 5/1994,Both sexes,8.2,2.4,1.4,1.5,1.5,0.9,1.9
4/1994 - 6/1994,Male,7.2,2.7,1.3,1.1,1.6,0.9,1.7
4/1994 - 6/1994,Female,5.6,1.5,1.1,1.7,[*7],[*7],1.4
4/1994 - 6/1994,Both sexes,6.5,2.1,1.2,1.3,1.3,0.7,1.6
5/1994 - 7/1994,Male,4.6,3.1,1.2,1.1,1.5,0.8,1.7
5/1994 - 7/1994,Female,7.1,2.1,1.3,1.4,[*7],[*7],1.7
5/1994 - 7/1994,Both sexes,5.6,2.6,1.2,1.2,1.2,0.7,1.7
6/1994 - 8/1994,Male,4.9,3.6,1.4,1.0,1.2,1.2,1.9
6/1994 - 8/1994,Female,8.1,2.6,1.4,1.5,0.9,[*7],2.0
6/1994 - 8/1994,Both sexes,6.3,3.1,1.4,1.2,1.2,1.1,1.9
7/1994 - 9/1994,Male,8.2,4.0,1.7,1.2,1.9,1.3,2.3
7/1994 - 9/1994,Female,12.0,2.7,1.4,1.3,1.4,[*7],2.2
7/1994 - 9/1994,Both sexes,9.8,3.4,1.6,1.3,1.8,1.2,2.3
8/1994 - 10/1994,Male,10.9,3.6,1.7,1.1,1.9,1.4,2.3
8/1994 - 10/1994,Female,11.6,2.8,1.4,1.3,1.3,[*7],2.2
8/1994 - 10/1994,Both sexes,11.2,3.2,1.6,1.2,1.8,1.2,2.3
9/1994 - 11/1994,Male,12.4,3.2,1.7,1.2,2.1,1.0,2.3
9/1994 - 11/1994,Female,12.8,2.0,1.2,1.2,0.8,[*7],1.9
9/1994 - 11/1994,Both sexes,12.6,2.6,1.5,1.2,1.8,1.0,2.1
10/1994 - 12/1994,Male,10.8,2.7,1.4,1.4,2.3,1.3,2.1
10/1994 - 12/1994,Female,8.5,1.6,1.0,1.1,0.8,[*7],1.5
10/1994 - 12/1994,Both sexes,9.8,2.2,1.3,1.3,1.9,1.1,1.9
11/1994 - 1/1995,Male,10.1,2.9,1.6,1.7,3.0,1.4,2.3
11/1994 - 1/1995,Female,9.0,1.4,0.9,1.3,1.6,[*7],1.5
11/1994 - 1/1995,Both sexes,9.6,2.2,1.3,1.5,2.6,1.5,2.0
12/1994 - 2/1995,Male,8.8,3.6,1.9,2.3,3.2,1.6,2.7
12/1994 - 2/1995,Female,8.1,2.0,0.9,1.4,1.5,[*7],1.7
12/1994 - 2/1995,Both sexes,8.5,2.8,1.5,2.0,2.8,1.5,2.3
1/1995 - 3/1995,Male,9.3,3.9,2.3,2.5,3.2,0.9,2.9
1/1995 - 3/1995,Female,8.8,2.7,1.4,1.8,2.2,[*7],2.2
1/1995 - 3/1995,Both sexes,9.1,3.3,2.0,2.3,2.9,1.0,2.6
2/1995 - 4/1995,Male,9.4,4.3,2.4,3.1,3.4,0.9,3.2
2/1995 - 4/1995,Female,6.8,2.4,1.7,2.4,1.7,[*7],2.2
2/1995 - 4/1995,Both sexes,8.3,3.4,2.1,2.9,2.9,0.9,2.8
3/1995 - 5/1995,Male,9.6,4.0,2.3,2.7,3.3,0.5,3.0
3/1995 - 5/1995,Female,7.0,2.5,1.6,2.3,2.1,[*7],2.2
3/1995 - 5/1995,Both sexes,8.5,3.3,2.0,2.5,3.0,0.6,2.7
4/1995 - 6/1995,Male,10.5,4.4,2.5,2.9,3.2,1.5,3.2
4/1995 - 6/1995,Female,8.3,2.8,1.5,3.0,2.6,[*7],2.5
4/1995 - 6/1995,Both sexes,9.5,3.6,2.1,2.9,3.1,1.4,2.9
5/1995 - 7/1995,Male,10.7,4.6,2.6,2.5,2.9,1.5,3.2
5/1995 - 7/1995,Female,11.7,3.9,1.9,3.4,2.8,[*7],3.2
5/1995 - 7/1995,Both sexes,11.2,4.2,2.3,2.8,2.9,1.3,3.2
6/1995 - 8/1995,Male,12.5,5.4,2.8,2.9,2.7,2.2,3.6
6/1995 - 8/1995,Female,12.1,4.3,2.2,3.4,3.8,[*7],3.6
6/1995 - 8/1995,Both sexes,12.3,4.8,2.6,3.0,3.0,2.0,3.6
7/1995 - 9/1995,Male,13.7,5.2,2.9,2.7,3.1,2.2,3.6
7/1995 - 9/1995,Female,16.3,4.5,2.5,3.0,3.1,[*7],3.8
7/1995 - 9/1995,Both sexes,14.9,4.9,2.7,2.8,3.1,1.9,3.7
8/1995 - 10/1995,Male,17.1,5.2,3.1,2.5,4.0,2.9,3.9
8/1995 - 10/1995,Female,18.7,3.9,2.3,2.7,3.3,[*7],3.5
8/1995 - 10/1995,Both sexes,17.8,4.5,2.8,2.6,3.8,2.6,3.7
9/1995 - 11/1995,Male,17.7,5.1,2.9,2.7,4.6,2.9,3.9
9/1995 - 11/1995,Female,19.4,3.4,2.2,3.0,2.1,[*7],3.3
9/1995 - 11/1995,Both sexes,18.4,4.2,2.6,2.8,4.0,2.6,3.7
10/1995 - 12/1995,Male,16.2,5.2,2.5,2.8,4.3,2.8,3.8
10/1995 - 12/1995,Female,16.7,3.0,2.0,2.8,1.4,[*7],3.0
10/1995 - 12/1995,Both sexes,16.4,4.1,2.3,2.8,3.6,2.5,3.5
11/1995 - 1/1996,Male,14.1,4.9,2.3,2.9,3.5,2.3,3.5
11/1995 - 1/1996,Female,14.6,2.8,1.6,2.4,1.4,[*7],2.6
11/1995 - 1/1996,Both sexes,14.3,3.9,2.0,2.7,3.0,2.1,3.1
12/1995 - 2/1996,Male,12.2,4.5,2.2,2.7,3.4,1.8,3.2
12/1995 - 2/1996,Female,12.8,3.0,1.6,2.3,1.6,[*7],2.6
12/1995 - 2/1996,Both sexes,12.4,3.7,1.9,2.6,3.0,1.5,3.0
1/1996 - 3/1996,Male,12.9,4.4,2.7,2.9,3.9,1.2,3.5
1/1996 - 3/1996,Female,10.3,2.9,1.4,1.6,1.8,[*7],2.3
1/1996 - 3/1996,Both sexes,11.7,3.7,2.2,2.5,3.3,1.1,3.0
2/1996 - 4/1996,Male,11.9,4.4,2.8,3.0,3.8,1.1,3.5
2/1996 - 4/1996,Female,9.1,3.2,1.9,1.7,1.5,[*7],2.5
2/1996 - 4/1996,Both sexes,10.6,3.8,2.4,2.5,3.2,1.1,3.1
3/1996 - 5/1996,Male,12.4,4.7,2.9,2.7,3.8,0.9,3.5
3/1996 - 5/1996,Female,7.8,2.8,2.0,1.6,1.5,[*7],2.3
3/1996 - 5/1996,Both sexes,10.3,3.7,2.5,2.3,3.2,0.8,3.0
4/1996 - 6/1996,Male,13.2,4.8,2.4,2.4,3.3,1.4,3.2
4/1996 - 6/1996,Female,10.3,2.9,1.8,1.9,1.4,[*7],2.4
4/1996 - 6/1996,Both sexes,11.9,3.9,2.2,2.2,2.8,1.2,2.9
5/1996 - 7/1996,Male,13.6,5.2,2.1,2.3,3.1,0.9,3.2
5/1996 - 7/1996,Female,12.5,3.0,1.4,1.5,1.2,[*7],2.3
5/1996 - 7/1996,Both sexes,13.1,4.1,1.8,2.1,2.6,0.9,2.8
6/1996 - 8/1996,Male,12.8,4.8,1.9,2.4,2.7,1.1,3.0
6/1996 - 8/1996,Female,13.4,3.5,1.4,1.3,0.6,[*7],2.4
6/1996 - 8/1996,Both sexes,13.1,4.2,1.7,2.0,2.2,1.0,2.8
7/1996 - 9/1996,Male,12.6,4.5,1.8,2.4,2.6,0.9,2.8
7/1996 - 9/1996,Female,13.4,3.2,1.5,1.2,[*7],[*7],2.3
7/1996 - 9/1996,Both sexes,12.9,3.8,1.6,2.0,2.1,0.8,2.6
8/1996 - 10/1996,Male,12.0,4.2,1.8,2.2,2.3,1.1,2.7
8/1996 - 10/1996,Female,14.2,2.9,1.6,1.4,[*7],[*7],2.3
8/1996 - 10/1996,Both sexes,13.0,3.5,1.7,2.0,1.9,0.9,2.6
9/1996 - 11/1996,Male,13.9,4.3,2.0,2.2,2.5,1.4,2.9
9/1996 - 11/1996,Female,16.5,2.5,1.5,1.7,1.2,[*7],2.3
9/1996 - 11/1996,Both sexes,15.1,3.4,1.8,2.0,2.2,1.2,2.7
10/1996 - 12/1996,Male,11.8,3.8,1.9,2.1,2.8,1.5,2.7
10/1996 - 12/1996,Female,15.2,2.3,1.5,2.2,1.6,[*7],2.3
10/1996 - 12/1996,Both sexes,13.4,3.0,1.7,2.1,2.5,1.4,2.6
11/1996 - 1/1997,Male,11.8,3.2,1.7,2.1,2.7,1.3,2.5
11/1996 - 1/1997,Female,12.8,2.3,1.2,1.7,1.9,[*7],2.1
11/1996 - 1/1997,Both sexes,12.2,2.7,1.5,2.0,2.5,1.1,2.3
12/1996 - 2/1997,Male,10.0,3.1,1.5,2.0,2.6,1.1,2.3
12/1996 - 2/1997,Female,9.9,1.9,1.3,1.7,1.5,[*7],1.9
12/1996 - 2/1997,Both sexes,9.9,2.5,1.5,1.9,2.3,0.9,2.2
1/1997 - 3/1997,Male,10.1,3.3,1.8,2.1,2.5,0.7,2.4
1/1997 - 3/1997,Female,10.9,1.9,1.5,1.4,1.1,[*7],1.9
1/1997 - 3/1997,Both sexes,10.5,2.6,1.7,1.9,2.1,0.6,2.2
2/1997 - 4/1997,Male,10.0,3.4,1.9,2.0,2.9,0.7,2.5
2/1997 - 4/1997,Female,9.8,1.9,1.7,1.6,1.3,[*7],1.9
2/1997 - 4/1997,Both sexes,9.9,2.6,1.8,1.9,2.5,0.7,2.3
3/1997 - 5/1997,Male,10.1,3.1,1.8,2.1,2.7,0.6,2.4
3/1997 - 5/1997,Female,9.7,2.1,1.5,1.5,1.5,[*7],1.9
3/1997 - 5/1997,Both sexes,9.9,2.6,1.7,1.9,2.4,0.6,2.2
4/1997 - 6/1997,Male,9.5,3.0,1.5,1.9,2.8,0.8,2.3
4/1997 - 6/1997,Female,8.3,2.3,1.3,1.7,1.6,[*7],1.9
4/1997 - 6/1997,Both sexes,9.0,2.7,1.4,1.8,2.5,0.8,2.1
5/1997 - 7/1997,Male,8.9,3.4,1.6,1.9,2.4,0.8,2.3
5/1997 - 7/1997,Female,9.3,2.5,1.3,1.6,1.5,[*7],2.0
5/1997 - 7/1997,Both sexes,9.1,2.9,1.5,1.8,2.2,0.7,2.2
6/1997 - 8/1997,Male,8.0,3.7,1.5,1.7,2.3,0.8,2.3
6/1997 - 8/1997,Female,10.2,3.0,1.4,1.3,1.6,[*7],2.2
6/1997 - 8/1997,Both sexes,9.0,3.4,1.5,1.5,2.2,0.7,2.2
7/1997 - 9/1997,Male,8.6,3.9,1.5,1.6,2.0,0.8,2.2
7/1997 - 9/1997,Female,11.9,2.9,1.3,1.0,1.3,[*7],2.1
7/1997 - 9/1997,Both sexes,10.0,3.4,1.4,1.4,1.8,0.7,2.2
8/1997 - 10/1997,Male,8.3,3.6,1.8,1.6,2.0,1.2,2.3
8/1997 - 10/1997,Female,13.3,2.8,1.5,1.5,1.6,[*7],2.3
8/1997 - 10/1997,Both sexes,10.5,3.2,1.7,1.5,1.9,1.1,2.3
9/1997 - 11/1997,Male,9.3,3.3,1.9,1.5,2.4,1.7,2.3
9/1997 - 11/1997,Female,13.9,2.1,1.7,1.8,1.5,[*7],2.2
9/1997 - 11/1997,Both sexes,11.4,2.7,1.8,1.6,2.1,1.6,2.3
10/1997 - 12/1997,Male,9.3,3.1,1.8,1.7,2.6,1.9,2.3
10/1997 - 12/1997,Female,12.1,1.8,1.8,2.3,2.0,[*7],2.2
10/1997 - 12/1997,Both sexes,10.5,2.4,1.8,1.9,2.4,1.9,2.3
11/1997 - 1/1998,Male,9.0,3.1,1.6,2.0,2.7,1.6,2.3
11/1997 - 1/1998,Female,10.2,1.7,1.5,2.0,1.9,[*7],2.0
11/1997 - 1/1998,Both sexes,9.5,2.4,1.5,2.0,2.5,1.6,2.2
12/1997 - 2/1998,Male,11.3,3.9,2.0,2.6,3.3,1.2,2.9
12/1997 - 2/1998,Female,11.9,2.3,1.5,2.2,2.6,[*7],2.3
12/1997 - 2/1998,Both sexes,11.6,3.1,1.8,2.4,3.1,1.2,2.7
1/1998 - 3/1998,Male,12.9,4.7,2.7,3.3,3.7,1.6,3.6
1/1998 - 3/1998,Female,13.9,2.9,1.7,2.3,3.8,[*7],2.7
1/1998 - 3/1998,Both sexes,13.4,3.8,2.3,2.9,3.7,1.4,3.3
2/1998 - 4/1998,Male,16.3,5.2,3.1,3.8,4.6,1.8,4.2
2/1998 - 4/1998,Female,14.8,3.1,1.8,2.7,4.0,[*7],3.0
2/1998 - 4/1998,Both sexes,15.6,4.1,2.6,3.5,4.4,1.7,3.7
3/1998 - 5/1998,Male,16.4,5.3,3.4,4.1,4.7,2.3,4.4
3/1998 - 5/1998,Female,16.0,3.3,1.9,3.1,3.8,[*7],3.2
3/1998 - 5/1998,Both sexes,16.2,4.3,2.8,3.7,4.4,2.1,3.9
4/1998 - 6/1998,Male,16.8,5.8,3.6,4.4,5.3,2.4,4.7
4/1998 - 6/1998,Female,18.1,3.8,2.4,3.7,3.5,[*7],3.7
4/1998 - 6/1998,Both sexes,17.4,4.8,3.1,4.1,4.8,2.2,4.3
5/1998 - 7/1998,Male,18.2,6.9,3.9,4.5,5.4,3.0,5.2
5/1998 - 7/1998,Female,20.7,4.5,2.9,4.1,3.4,[*7],4.2
5/1998 - 7/1998,Both sexes,19.4,5.7,3.5,4.4,4.9,2.7,4.8
6/1998 - 8/1998,Male,20.9,7.8,3.9,4.6,5.6,3.2,5.5
6/1998 - 8/1998,Female,23.2,5.6,3.0,4.2,3.3,2.3,4.7
6/1998 - 8/1998,Both sexes,21.9,6.7,3.5,4.5,5.0,3.1,5.2
7/1998 - 9/1998,Male,26.0,8.3,3.9,4.5,5.5,3.2,5.7
7/1998 - 9/1998,Female,24.0,6.0,3.1,3.9,2.9,2.5,4.8
7/1998 - 9/1998,Both sexes,25.1,7.1,3.5,4.3,4.8,3.1,5.3
8/1998 - 10/1998,Male,27.4,8.6,4.5,4.6,6.2,2.8,6.1
8/1998 - 10/1998,Female,25.7,5.8,3.1,4.0,3.6,[*7],4.9
8/1998 - 10/1998,Both sexes,26.6,7.1,3.9,4.4,5.5,2.6,5.6
9/1998 - 11/1998,Male,27.2,8.7,4.7,4.9,6.7,2.6,6.3
9/1998 - 11/1998,Female,23.6,5.1,3.3,3.8,4.0,[*7],4.7
9/1998 - 11/1998,Both sexes,25.5,6.9,4.1,4.5,6.0,2.4,5.7
10/1998 - 12/1998,Male,25.7,8.9,5.2,5.1,7.6,2.5,6.6
10/1998 - 12/1998,Female,25.0,5.2,3.0,4.2,4.4,[*7],4.8
10/1998 - 12/1998,Both sexes,25.4,7.0,4.2,4.8,6.7,2.4,5.9
11/1998 - 1/1999,Male,24.8,8.6,4.8,5.4,8.1,3.1,6.6
11/1998 - 1/1999,Female,23.9,5.3,2.9,4.4,4.0,[*7],4.8
11/1998 - 1/1999,Both sexes,24.4,6.9,4.0,5.0,6.9,3.0,5.9
12/1998 - 2/1999,Male,25.2,8.6,5.1,5.5,8.5,3.8,6.8
12/1998 - 2/1999,Female,23.8,5.2,2.9,4.5,4.4,3.0,4.7
12/1998 - 2/1999,Both sexes,24.5,6.9,4.2,5.2,7.4,3.6,6.0
1/1999 - 3/1999,Male,24.9,9.1,5.4,6.2,8.6,4.9,7.3
1/1999 - 3/1999,Female,20.4,4.9,3.4,4.4,4.4,2.5,4.6
1/1999 - 3/1999,Both sexes,22.9,6.9,4.5,5.6,7.5,4.5,6.2
2/1999 - 4/1999,Male,25.5,9.4,5.4,6.4,8.5,5.0,7.4
2/1999 - 4/1999,Female,20.4,5.0,3.6,3.9,4.9,[*7],4.6
2/1999 - 4/1999,Both sexes,23.2,7.2,4.6,5.5,7.5,4.5,6.3
3/1999 - 5/1999,Male,25.3,9.4,5.5,6.4,8.6,4.3,7.4
3/1999 - 5/1999,Female,22.4,5.0,3.4,3.8,4.3,[*7],4.5
3/1999 - 5/1999,Both sexes,24.0,7.2,4.6,5.4,7.3,3.8,6.2
4/1999 - 6/1999,Male,27.6,9.6,5.0,5.8,8.4,3.7,7.1
4/1999 - 6/1999,Female,27.4,5.3,3.1,3.6,4.3,[*7],4.6
4/1999 - 6/1999,Both sexes,27.5,7.5,4.2,5.0,7.2,3.3,6.1
5/1999 - 7/1999,Male,29.2,10.2,5.3,5.7,8.0,3.2,7.3
5/1999 - 7/1999,Female,30.2,5.7,2.9,3.6,4.0,[*7],4.7
5/1999 - 7/1999,Both sexes,29.6,7.9,4.2,4.9,6.9,2.9,6.2
6/1999 - 8/1999,Male,28.6,10.6,5.1,5.6,7.8,3.2,7.3
6/1999 - 8/1999,Female,29.9,6.4,3.2,3.5,4.6,[*7],5.1
6/1999 - 8/1999,Both sexes,29.1,8.5,4.3,4.8,6.8,2.9,6.4
7/1999 - 9/1999,Male,28.0,10.6,5.3,5.8,7.7,2.5,7.3
7/1999 - 9/1999,Female,29.2,6.8,3.1,3.7,4.5,[*7],5.2
7/1999 - 9/1999,Both sexes,28.5,8.6,4.4,5.1,6.8,2.3,6.5
8/1999 - 10/1999,Male,27.9,10.4,5.2,5.8,7.5,3.2,7.2
8/1999 - 10/1999,Female,30.2,6.5,3.3,4.3,5.6,[*7],5.5
8/1999 - 10/1999,Both sexes,29.0,8.4,4.4,5.2,7.0,2.9,6.5
9/1999 - 11/1999,Male,29.0,9.6,5.1,6.1,7.8,3.6,7.2
9/1999 - 11/1999,Female,28.7,6.0,3.3,4.7,6.0,[*7],5.4
9/1999 - 11/1999,Both sexes,28.9,7.7,4.3,5.6,7.3,3.3,6.5
10/1999 - 12/1999,Male,29.7,9.0,4.8,6.0,7.5,4.2,7.0
10/1999 - 12/1999,Female,26.1,5.1,3.3,5.1,6.7,[*7],5.2
10/1999 - 12/1999,Both sexes,28.1,7.0,4.1,5.7,7.3,3.8,6.2
11/1999 - 1/2000,Male,28.1,8.0,4.4,5.8,7.7,4.4,6.6
11/1999 - 1/2000,Female,22.9,4.8,3.1,4.5,5.1,[*7],4.7
11/1999 - 1/2000,Both sexes,25.8,6.4,3.8,5.4,7.0,3.9,5.8
12/1999 - 2/2000,Male,29.6,7.4,4.2,5.9,7.6,4.4,6.4
12/1999 - 2/2000,Female,22.6,4.7,3.1,5.2,4.4,2.3,4.7
12/1999 - 2/2000,Both sexes,26.4,6.0,3.7,5.7,6.7,4.0,5.7
1/2000 - 3/2000,Male,27.5,6.8,4.1,5.5,7.9,4.2,6.1
1/2000 - 3/2000,Female,22.9,4.7,3.2,5.0,3.5,[*7],4.6
1/2000 - 3/2000,Both sexes,25.4,5.7,3.7,5.3,6.6,3.8,5.5
2/2000 - 4/2000,Male,26.2,6.5,3.9,5.4,7.6,4.1,5.9
2/2000 - 4/2000,Female,22.5,4.6,3.2,5.0,4.1,[*7],4.6
2/2000 - 4/2000,Both sexes,24.6,5.5,3.6,5.2,6.6,3.7,5.4
3/2000 - 5/2000,Male,23.3,6.7,3.6,4.8,7.0,3.6,5.5
3/2000 - 5/2000,Female,22.2,4.7,3.0,4.3,3.2,[*7],4.3
3/2000 - 5/2000,Both sexes,22.8,5.7,3.4,4.6,5.9,3.3,5.0
4/2000 - 6/2000,Male,25.6,7.1,3.7,4.8,6.8,3.2,5.6
4/2000 - 6/2000,Female,25.9,4.8,2.6,3.6,3.7,[*7],4.2
4/2000 - 6/2000,Both sexes,25.7,5.9,3.2,4.3,5.9,3.0,5.0
5/2000 - 7/2000,Male,26.2,7.1,3.8,4.7,7.2,2.1,5.6
5/2000 - 7/2000,Female,26.3,5.4,2.5,3.3,3.4,[*7],4.3
5/2000 - 7/2000,Both sexes,26.2,6.2,3.2,4.2,6.1,1.9,5.1
6/2000 - 8/2000,Male,25.3,6.9,3.9,4.5,7.3,2.7,5.6
6/2000 - 8/2000,Female,26.7,6.1,2.4,2.7,3.7,[*7],4.4
6/2000 - 8/2000,Both sexes,26.0,6.5,3.2,3.8,6.2,2.3,5.1
7/2000 - 9/2000,Male,22.2,6.9,3.7,4.4,7.0,2.7,5.4
7/2000 - 9/2000,Female,24.0,6.0,2.6,2.9,3.2,[*7],4.3
